Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	myeloid DCStep
ENSG00000136169	SETDB2	 C13orf4, CLLD8, CLLL8, KMT1F,	"SET domain bifurcated histone lysine methyltransferase 2"	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83852	SETDB2	TF
ENSG00000136213	CHST12	 C4S-2, C4ST2,	"Carbohydrate sulfotransferase 12"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55501	CHST12	DCHighExpr
ENSG00000136243	NUP42	 CG1, H_RG271G13.9, hCG1, NLP_1, NUPL2,	"Nucleoporin 42"	"Metabolic proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	11097	NUP42	DCHighExpr
ENSG00000136247	ZDHHC4	 FLJ10479, ZNF374,	"Zinc finger DHHC-type palmitoyltransferase 4"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	55146	ZDHHC4	DCHighExpr
ENSG00000136250	AOAH	 ,	"Acyloxyacyl hydrolase"	"Enzymes, Metabolic proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	313	AOAH	TopGeneInFirstStep,CancerDExpr
ENSG00000136261	BZW2	 HSPC028, MST017, MSTP017,	"Basic leucine zipper and W2 domains 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	28969	BZW2	TopGeneInFirstStep
ENSG00000136279	DBNL	 ABP1, HIP-55, SH3P7,	"Drebrin like"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	28988	DBNL	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000136286	MYO1G	 HA-2,	"Myosin IG"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	64005	MYO1G	CancerDExpr
ENSG00000136295	TTYH3	 KIAA1691,	"Tweety family member 3"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	80727	TTYH3	CancerDExpr
ENSG00000136381	IREB2	 IRP2,	"Iron responsive element binding protein 2"	"Disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	3658	IREB2	FunctionGene,DCHighExpr
ENSG00000136490	LIMD2	 MGC10986,	"LIM domain containing 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	80774	LIMD2	TopGeneInFirstStep,DCHighExpr
ENSG00000136560	TANK	 I-TRAF, TRAF2,	"TRAF family member associated NFKB activator"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10010	TANK	FunctionGene
ENSG00000136603	SKIL	 SNO, SnoA, SnoN,	"SKI like proto-oncogene"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6498	SKIL	TF,DCHighExpr
ENSG00000136630	HLX	 HB24, HLX1,	"H2.0 like homeobox"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	3142	HLX	TF
ENSG00000136689	IL1RN	 ICIL-1RA, IL-1RN, IL1F3, IL1RA, IRAP, MGC10430,	"Interleukin 1 receptor antagonist"	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3557	IL1RN	CancerDExpr,FunctionGene
ENSG00000136710	CCDC115	 ccp1, FLJ30131, MGC12981,	"Coiled-coil domain containing 115"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84317	CCDC115	TopGeneInFirstStep
ENSG00000136717	BIN1	 AMPH2, AMPHL, SH3P9,	"Bridging integrator 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	274	BIN1	DCHighExpr
ENSG00000136754	ABI1	 ABI-1, E3B1, SSH3BP1,	"Abl interactor 1"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10006	ABI1	DCHighExpr
ENSG00000136783	NIPSNAP3A	 DKFZp564D177, FLJ13953, HSPC299, MGC14553,	"Nipsnap homolog 3A"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	25934	NIPSNAP3A	TopGeneInFirstStep
ENSG00000136807	CDK9	 C-2k, CDC2L4, PITALRE, TAK,	"Cyclin dependent kinase 9"	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1025	CDK9	DCHighExpr
ENSG00000136840	ST6GALNAC4	 SIAT3C, SIAT7D, ST6GALNACIV,	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	27090	ST6GALNAC4	DCHighExpr
ENSG00000136867	SLC31A2	 COPT2, CTR2, hCTR2,	"Solute carrier family 31 member 2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	1318	SLC31A2	TopGeneInFirstStep,CancerDExpr
ENSG00000136869	TLR4	 ARMD10, CD284, hToll, TLR-4,	"Toll like receptor 4"	"CD markers, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7099	TLR4	CancerDExpr
ENSG00000136908	DPM2	 MGC111193, MGC21559,	"Dolichyl-phosphate mannosyltransferase subunit 2, regulatory"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	8818	DPM2	TopGeneInFirstStep
ENSG00000136936	XPA	 XP1, XPAC,	"XPA, DNA damage recognition and repair factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7507	XPA	TF
ENSG00000136950	ARPC5L	 ARC16-2, MGC3038,	"Actin related protein 2/3 complex subunit 5 like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	81873	ARPC5L	DCHighExpr
ENSG00000136997	MYC	 bHLHe39, c-Myc, MYCC,	"MYC proto-oncogene, bHLH transcription factor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4609	MYC	TF
ENSG00000137070	IL11RA	 ,	"Interleukin 11 receptor subunit alpha"	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	3590	IL11RA	FunctionGene
ENSG00000137076	TLN1	 ILWEQ, TLN,	"Talin 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7094	TLN1	CancerDExpr,DCHighExpr
ENSG00000137103	TMEM8B	 C9orf127, FP588, LINC00950, NAG-5, NGX6, NGX6a,	"Transmembrane protein 8B"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	51754	TMEM8B	DCHighExpr
ENSG00000137161	CNPY3	 CAG4A, TNRC5,	"Canopy FGF signaling regulator 3"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10695	CNPY3	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000137185	ZSCAN9	 PRD51, ZNF193,	"Zinc finger and SCAN domain containing 9"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7746	ZSCAN9	TF
ENSG00000137265	IRF4	 LSIRF, MUM1,	"Interferon regulatory factor 4"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3662	IRF4	TF,DCHighExpr
ENSG00000137274	BPHL	 Bph-rp, MCNAA, VACVase,	"Biphenyl hydrolase like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	670	BPHL	FunctionGene
ENSG00000137309	HMGA1	 HMGIY,	"High mobility group AT-hook 1"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3159	HMGA1	TopGeneInFirstStep,CancerDExpr,TF,DCHighExpr
ENSG00000137312	FLOT1	 ,	"Flotillin 1"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10211	FLOT1	CancerDExpr,DCHighExpr
ENSG00000137364	TPMT	 ,	"Thiopurine S-methyltransferase"	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7172	TPMT	CancerDExpr
ENSG00000137393	RNF144B	 bA528A10.3, IBRDC2, P53RFP,	"Ring finger protein 144B"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	255488	RNF144B	CancerDExpr,DCHighExpr
ENSG00000137462	TLR2	 CD282, TIL4,	"Toll like receptor 2"	"CD markers, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7097	TLR2	TopGeneInFirstStep,CancerDExpr
ENSG00000137478	FCHSD2	 KIAA0769, SH3MD3,	"FCH and double SH3 domains 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9873	FCHSD2	DCHighExpr
ENSG00000137486	ARRB1	 ARR1,	"Arrestin beta 1"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	408	ARRB1	FunctionGene
ENSG00000137642	SORL1	 C11orf32, gp250, LR11, LRP9, SorLA, SorLA-1,	"Sortilin related receptor 1"	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	6653	SORL1	DCHighExpr
ENSG00000137752	CASP1	 ICE, IL1BC,	"Caspase 1"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	834	CASP1	TopGeneInFirstStep,CancerDExpr
ENSG00000137767	SQOR	 CGI-44, SQR, SQRDL,	"Sulfide quinone oxidoreductase"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	58472	SQOR	TopGeneInFirstStep,CancerDExpr
ENSG00000137871	ZNF280D	 FLJ20086, SUHW4, ZNF634,	"Zinc finger protein 280D"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	54816	ZNF280D	TF
ENSG00000137959	IFI44L	 C1orf29, GS3686,	"Interferon induced protein 44 like"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10964	IFI44L	CancerDExpr
ENSG00000138029	HADHB	 MTPB,	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3032	HADHB	TopGeneInFirstStep,DCHighExpr
ENSG00000138032	PPM1B	 PP2CB, PP2CBETA, PPC2BETAX,	"Protein phosphatase, Mg2+/Mn2+ dependent 1B"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	5495	PPM1B	DCHighExpr
ENSG00000138081	FBXO11	 FBX11, UBR6,	"F-box protein 11"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	80204	FBXO11	DCHighExpr
ENSG00000138172	CALHM2	 FAM26B,	"Calcium homeostasis modulator family member 2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51063	CALHM2	TopGeneInFirstStep
ENSG00000138185	ENTPD1	 ATPDase, CD39, NTPDase-1, SPG64,	"Ectonucleoside triphosphate diphosphohydrolase 1"	"CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	953	ENTPD1	CancerDExpr
ENSG00000138279	ANXA7	 ANX7,	"Annexin A7"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	310	ANXA7	TopGeneInFirstStep,DCHighExpr
ENSG00000138398	PPIG	 CARS-Cyp, SCAF10, SRCyp,	"Peptidylprolyl isomerase G"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9360	PPIG	DCHighExpr
ENSG00000138413	IDH1	 ,	"Isocitrate dehydrogenase (NADP(+)) 1"	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3417	IDH1	CancerDExpr
ENSG00000138430	OLA1	 GTPBP9, PTD004,	"Obg like ATPase 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29789	OLA1	DCHighExpr
ENSG00000138433	CIR1	 CIR,	"Corepressor interacting with RBPJ, CIR1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9541	CIR1	DCHighExpr
ENSG00000138443	ABI2	 ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2,	"Abl interactor 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10152	ABI2	DCHighExpr
ENSG00000138449	SLC40A1	 FPN1, HFE4, IREG1, MTP1, SLC11A3,	"Solute carrier family 40 member 1"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	30061	SLC40A1	TopGeneInFirstStep,CancerDExpr
ENSG00000138592	USP8	 HumORF8, KIAA0055, SPG59, UBPY,	"Ubiquitin specific peptidase 8"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9101	USP8	DCHighExpr
ENSG00000138600	SPPL2A	 IMP3, PSL2,	"Signal peptide peptidase like 2A"	"Enzymes, Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	84888	SPPL2A	CancerDExpr,DCHighExpr
ENSG00000138670	RASGEF1B	 FLJ31695, GPIG4,	"RasGEF domain family member 1B"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	153020	RASGEF1B	CancerDExpr,DCHighExpr
ENSG00000138698	RAP1GDS1	 SmgGDS,	"Rap1 GTPase-GDP dissociation stimulator 1"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5910	RAP1GDS1	DCHighExpr
ENSG00000138744	NAAA	 ASAHL,	"N-acylethanolamine acid amidase"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	27163	NAAA	TopGeneInFirstStep,CancerDExpr
ENSG00000138758	SEPTIN11	 FLJ10849, SEPT11,	"Septin 11"	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55752	SEPTIN11	DCHighExpr
ENSG00000138760	SCARB2	 CD36L2, HLGP85, LIMP-2, LIMPII, SR-BII,	"Scavenger receptor class B member 2"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	950	SCARB2	CancerDExpr,DCHighExpr
ENSG00000138767	CNOT6L	 Ccr4b, DKFZp434K098,	"CCR4-NOT transcription complex subunit 6 like"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	246175	CNOT6L	DCHighExpr
ENSG00000138796	HADH	 HADH1, HADHSC, SCHAD,	"Hydroxyacyl-CoA dehydrogenase"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3033	HADH	DCHighExpr
ENSG00000138801	PAPSS1	 ATPSK1, PAPSS,	"3'-phosphoadenosine 5'-phosphosulfate synthase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9061	PAPSS1	CancerDExpr
ENSG00000138814	PPP3CA	 CALN, CALNA, CNA1, PPP2B,	"Protein phosphatase 3 catalytic subunit alpha"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5530	PPP3CA	FunctionGene,DCHighExpr
ENSG00000138964	PARVG	 ,	"Parvin gamma"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	64098	PARVG	CancerDExpr,DCHighExpr
ENSG00000139083	ETV6	 TEL,	"ETS variant transcription factor 6"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2120	ETV6	TF,DCHighExpr
ENSG00000139112	GABARAPL1	 APG8L, ATG8B, ATG8L, gec1,	"GABA type A receptor associated protein like 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23710	GABARAPL1	DCHighExpr
ENSG00000139132	FGD4	 CMT4H, frabin, FRABP, ZFYVE6,	"FYVE, RhoGEF and PH domain containing 4"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	121512	FGD4	CancerDExpr
ENSG00000139146	SINHCAF	 C12orf14, FAM60A, TERA,	"SIN3-HDAC complex associated factor"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	58516	SINHCAF	DCHighExpr
ENSG00000139154	AEBP2	 MGC17922,	"AE binding protein 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	121536	AEBP2	TF
ENSG00000139192	TAPBPL	 FLJ10143, TAPBP-R, TAPBPR,	"TAP binding protein like"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	55080	TAPBPL	TopGeneInFirstStep
ENSG00000139266	MARCHF9	 FLJ36578, MARCH9, RNF179,	"Membrane associated ring-CH-type finger 9"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	92979	MARCHF9	DCHighExpr
ENSG00000139278	GLIPR1	 GliPR, RTVP1,	"GLI pathogenesis related 1"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	11010	GLIPR1	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000139291	TMEM19	 FLJ10936,	"Transmembrane protein 19"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55266	TMEM19	DCHighExpr
ENSG00000139318	DUSP6	 MKP-3, PYST1,	"Dual specificity phosphatase 6"	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1848	DUSP6	TopGeneInFirstStep
ENSG00000139370	SLC15A4	 PHT1, PTR4,	"Solute carrier family 15 member 4"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	121260	SLC15A4	DCHighExpr
ENSG00000139372	TDG	 ,	"Thymine DNA glycosylase"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6996	TDG	DCHighExpr
ENSG00000139410	SDSL	 cSDH, SDS-RS1,	"Serine dehydratase like"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	113675	SDSL	CancerDExpr
ENSG00000139505	MTMR6	 ,	"Myotubularin related protein 6"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9107	MTMR6	DCHighExpr
ENSG00000139597	N4BP2L1	 CG018,	"NEDD4 binding protein 2 like 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	90634	N4BP2L1	DCHighExpr
ENSG00000139668	WDFY2	 ZFYVE22,	"WD repeat and FYVE domain containing 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	115825	WDFY2	DCHighExpr
ENSG00000139679	LPAR6	 P2RY5, P2Y5,	"Lysophosphatidic acid receptor 6"	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10161	LPAR6	CancerDExpr
ENSG00000139687	RB1	 OSRC, PPP1R130, RB,	"RB transcriptional corepressor 1"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5925	RB1	CancerDExpr,DCHighExpr
ENSG00000139697	SBNO1	 FLJ10701, FLJ10833, MOP3, Sno,	"Strawberry notch homolog 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55206	SBNO1	DCHighExpr
ENSG00000139725	RHOF	 ARHF, FLJ20247, RIF,	"Ras homolog family member F, filopodia associated"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	54509	RHOF	DCHighExpr
ENSG00000139793	MBNL2	 MBLL, MBLL39,	"Muscleblind like splicing regulator 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10150	MBNL2	TF,DCHighExpr
ENSG00000139832	RAB20	 FLJ20429,	"RAB20, member RAS oncogene family"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55647	RAB20	CancerDExpr
ENSG00000139921	TMX1	 PDIA11, TMX, TXNDC, TXNDC1,	"Thioredoxin related transmembrane protein 1"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	81542	TMX1	DCHighExpr
ENSG00000140030	GPR65	 hTDAG8, TDAG8,	"G protein-coupled receptor 65"	"G-protein coupled receptors, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	8477	GPR65	CancerDExpr,DCHighExpr
ENSG00000140044	JDP2	 JUNDM2,	"Jun dimerization protein 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	122953	JDP2	TF
ENSG00000140105	WARS1	 IFI53, IFP53, WARS,	"Tryptophanyl-tRNA synthetase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7453	WARS1	TopGeneInFirstStep
ENSG00000140157	NIPA2	 SLC57A2,	"NIPA magnesium transporter 2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	81614	NIPA2	DCHighExpr
ENSG00000140262	TCF12	 bHLHb20, HEB, HsT17266, HTF4, p64,	"Transcription factor 12"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6938	TCF12	TF
ENSG00000140280	LYSMD2	 MGC35274,	"LysM domain containing 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	256586	LYSMD2	DCHighExpr
ENSG00000140299	BNIP2	 BNIP-2, Nip2,	"BCL2 interacting protein 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	663	BNIP2	DCHighExpr
ENSG00000140374	ETFA	 EMA, GA2, MADD,	"Electron transfer flavoprotein subunit alpha"	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2108	ETFA	TopGeneInFirstStep,DCHighExpr
ENSG00000140379	BCL2A1	 ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1,	"BCL2 related protein A1"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	597	BCL2A1	CancerDExpr,DCHighExpr
ENSG00000140382	HMG20A	 FLJ10739, HMGX1, HMGXB1,	"High mobility group 20A"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10363	HMG20A	TF
ENSG00000140396	NCOA2	 bHLHe75, GRIP1, KAT13C, NCoA-2, TIF2,	"Nuclear receptor coactivator 2"	"Cancer-related genes, Disease related genes, Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	10499	NCOA2	TF
ENSG00000140464	PML	 MYL, RNF71, TRIM19,	"PML nuclear body scaffold"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5371	PML	FunctionGene
ENSG00000140497	SCAMP2	 ,	"Secretory carrier membrane protein 2"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10066	SCAMP2	TopGeneInFirstStep,DCHighExpr
ENSG00000140548	ZNF710	 DKFZp547K1113, FLJ00306, FLJ37393,	"Zinc finger protein 710"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	374655	ZNF710	TF
ENSG00000140575	IQGAP1	 HUMORFA01, KIAA0051, p195, SAR1,	"IQ motif containing GTPase activating protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8826	IQGAP1	CancerDExpr,DCHighExpr
ENSG00000140632	GLYR1	 BM045, HIBDL, N-PAC, NP60,	"Glyoxylate reductase 1 homolog"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	84656	GLYR1	TF
ENSG00000140678	ITGAX	 CD11C,	"Integrin subunit alpha X"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3687	ITGAX	CancerDExpr
ENSG00000140749	IGSF6	 DORA,	"Immunoglobulin superfamily member 6"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10261	IGSF6	TopGeneInFirstStep,CancerDExpr
ENSG00000140750	ARHGAP17	 FLJ10308, FLJ13219, NADRIN, RICH1, WBP15,	"Rho GTPase activating protein 17"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55114	ARHGAP17	DCHighExpr
ENSG00000140931	CMTM3	 BNAS2, CKLFSF3, FLJ31762,	"CKLF like MARVEL transmembrane domain containing 3"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	123920	CMTM3	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000140968	IRF8	 ICSBP, ICSBP1, IRF-8,	"Interferon regulatory factor 8"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	3394	IRF8	TopGeneInFirstStep,CancerDExpr,TF,DCHighExpr
ENSG00000140987	ZSCAN32	 FLJ20417, ZNF434,	"Zinc finger and SCAN domain containing 32"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	54925	ZSCAN32	TF
